participant_id,trial_number,y_length,response
Participant_12,56,370,Equal
Participant_12,57,400,Equal
Participant_12,58,385,X
Participant_12,59,445,Equal
Participant_12,60,445,Equal
Participant_12,61,430,Equal
Participant_12,62,355,X
Participant_12,63,355,X
Participant_12,64,355,X
Participant_12,65,445,Y
Participant_12,66,385,X
Participant_12,67,370,Equal
Participant_12,68,400,X
Participant_12,69,430,Y
Participant_12,70,385,X
